EMISSION,DESCRIPTION
60H0J2B,PSK31.
100HN0N,"Speed Radar (10525 MHz X band; 24150 MHz K band, 33800 MHz/34700 MHz/35500 MHz Ka band)."
150HA1A,Continuous Wave Telegraphy (manually read Morse Code).
500HJ2D,MT63-500 50 WPM.
500HXXA,Dual carrier NDB (non-directional beacon) with 400 Hz modulation.
800HA2A,Single carrier NDB (non-directional beacon) with 400 Hz modulation.
1K00J2D,MT63-1000 100 WPM.
1K12XXA,Dual carrier NDB (non-directional beacon) with 1020 Hz modulation.
2K00J2D,MT63-2000 200 WPM.
2K04A3A,Single carrier NDB (non-directional beacon) with 1020 Hz modulation.
2K80J2B,HF RTTY (Radio Teletype).
2K80J2D,HF PACTOR-III.
2K80J3E,"Amplitude modulated (AM) analog 2.8 kHz voice, single sideband suppressed
carrier (USB or LSB, not at the same time) (SSB mode in RadioReference.com Database)."
2K90J3E,"Amplitude modulated (AM) analog 2.9 kHz voice, single sideband suppressed
carrier (USB or LSB, not at the same time) (SSB mode in RadioReference.com Database)."
3K00H2B,HF ALE MIL-STD-188-141A/FED-STD-1045.
3K00J3E,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier) 3.0 kHz voice.
3K30F1D,6.25 kHz SCADA link (CalAmp Viper SC – 173 MHz).
3K50J3E,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier) 3.5 kHz voice.
4K00F1D,"NXDN 6.25 kHz data (IDAS, NEXEDGE)."
4K00F1E,"NXDN 6.25 kHz digital voice (IDAS, NEXEDGE)."
4K00F1W,"NXDN 6.25 kHz digital voice and data (IDAS, NEXEDGE)."
4K00F2D,"NXDN 6.25 kHz analog FM CW ID (IDAS, NEXEDGE)."
4K00F7WDT,"NXDN 6.25 kHz digital voice and data (IDAS, NEXEDGE). (Canada)"
4K00J1D,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier).
4K00J2D,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier).
4K00J3E,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier) 4.0 kHz voice.
4K50J3E,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier) 4.5 kHz voice.
5K00J3E,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier) 5.0 kHz voice.
5K60F2D,SCADA.
5K60G1D,NASA BPSK half-rate data for link forwarding and command links.
5K76G1E,P25 CQPSK voice (typically used for simulcast systems – this is NOT P25 Phase II).
6K00A3E,"Amplitude modulated (AM) analog voice, double sideband
full carrier (AM mode in RadioReference.com Database)."
6K00F1D,SCADA Carrier Frequency Shift Keying.
6K00F2D,SCADA Audio Frequency Shift Keying.
6K00F3D,"SCADA Analog data that is not AFSK (variable tone, DTMF, etc.)."
6K00J3E,Amplitude Compandored Sideband (eSSB) (pilot tone/carrier) 6.0 kHz voice.
6K50F1D,"SCADA/Data 4.8 GFSK in 12.5 kHz channelspace
(LMR use by CalFire for AVL)."
7K34FXDJN,2-slot DMR (Motorola MOTOTRBO) TDMA data. (Canada)
7K60F7WDT,2-slot DMR (Motorola MotoTRBO and Various Tier 3) TDMA data + voice. (Canada)
7K60FXD,2-slot DMR (Motorola MOTOTRBO) TDMA data.
7K60FXDJN,2-slot DMR (Motorola MOTOTRBO) TDMA data. (Canada)
7K60FXE,2-slot DMR (Motorola MOTOTRBO) TDMA voice.
7K60FXW,2-slot DMR (Motorola MOTOTRBO) TDMA data + voice.
8K00F1D,P25 Phase I C4FM data.
8K10DXW,"P25 Phase II 4 Level H-CPM Data/Voice
(Harmonized Continuous Phase Modulation – H-CPM)."
8K10F1D,P25 Phase I C4FM data.
8K10F1E,P25 Phase I C4FM voice (P25 mode in RadioReference.com Database).
8K10F1W,"P25 Phase II subscriber units
(Harmonized Continuous Phase Modulation – H-CPM)."
8K30F1D,"NXDN 12.5 kHz data (Wide IDAS, NEXEDGE)."
8K30F1E,"NXDN 12.5 kHz digital voice (Wide IDAS, NEXEDGE)."
8K30F1W,"P25 Phase I C4FM hybridized voice and data applications
(most commonly seen on trunked licenses)."
8K30F7W,"NXDN 12.5 kHz digital voice and data (Wide IDAS, NEXEDGE)."
8K40F1D,P25 Phase I (4 Level C4FM Data).
8K40F1E,P25 Phase I (4 Level C4FM Voice).
8K40F9W,Harris OpenSky (NPSPAC - 4 slot Data/Voice).
8K50F9W,Harris OpenSky (2 slot narrowband).
8K70D1W,"P25 Linear Simulcast Modulation ASTRO
(9.6 kbps in 12.5 kHz channel spacing)."
9K20F2D,"Zetron-based alphanumeric paging/alerting system
(seen in practice using Daniels base stations)."
9K30F1D,SCADA / Remote Control.
9K36F7W,Yaesu System Fusion C4FM (Voice Wide * Voice Narrow + Data * Data Wide)
9K70D1W,P25 Linear Simulcast Modulation “WCQPSK” voice (per Harris MASTR-V literature).
9K70F1D,P25 Linear Simulcast Modulation “WCQPSK” data (per Harris MASTR-V literature).
9K70F1E,P25 Linear Simulcast Modulation “WCQPSK” voice (per Harris MASTR-V literature).
9K80D7W,"P25 Phase II fixed-end 2-slot TDMA
(Harmonized Differential Quadrature Phase Shift Keyed modulation – H-DQPSK),
per Motorola literature."
9K80F1D,"P25 Phase II fixed-end 2-slot TDMA H-DQPSK data,
per Harris MASTR-V literature."
9K80F1E,"P25 Phase II fixed-end 2-slot TDMA H-DQPSK voice
(interpolation of MASTR-V literature)."
10K0F1D,LTI Automated Vehicle Location (AVL) system - LT6 Radio Modem.
10K0F1D *,Motorola Widepulse ASTRO simulcast control channel.
10K0F1D *,Motorola Widepulse ASTRO simulcast data.
10K0F1D,RD-LAP 9.6 kbps data on narrowband channel.
10K0F1E *,Motorola Widepulse ASTRO simulcast voice.
